topic,text,optionA,optionB,optionC,optionD,correct,imageUrl,optionAImageUrl,optionBImageUrl,optionCImageUrl,optionDImageUrl
Flags,Which country is this flag?,France,United Kingdom,Germany,Italy,A,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,,,,
Flags,,Japan,China,South Korea,Thailand,A,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,,,,
Geography,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,C,
Geography,What is the capital of Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,C,
Geography,Which is the largest ocean on Earth?,Atlantic,Indian,Pacific,Arctic,C,
Geography,Which country has the largest population?,India,United States,China,Indonesia,A,
Geography,What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,B,
Geography,Which continent is the Sahara Desert on?,Asia,Africa,Australia,South America,B,
Geography,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C,
Geography,Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,Vietnam,B,
History,In which year did World War II end?,1943,1944,1945,1946,C,
History,Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Benjamin Franklin,B,
History,The Great Wall is located in which country?,Japan,China,India,Mongolia,B,
History,Which ancient civilization built the pyramids?,Roman,Greek,Egyptian,Persian,C,
History,When did the Berlin Wall fall?,1987,1989,1991,1993,B,
History,Who discovered America in 1492?,Magellan,Columbus,Vespucci,Drake,B,
History,Which empire was ruled by Julius Caesar?,Greek,Persian,Roman,Ottoman,C,
History,The Renaissance began in which country?,France,England,Italy,Spain,C,
History,Who was known as the Maid of Orléans?,Elizabeth I,Joan of Arc,Catherine the Great,Marie Antoinette,B,
History,Which war was fought between the North and South in the US?,World War I,Revolutionary War,Civil War,Vietnam War,C,
Science,What is the chemical symbol for gold?,Go,Gd,Au,Ag,C,
Science,Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,B,
Science,What gas do plants absorb from the air?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,
Science,How many bones are in the adult human body?,186,206,226,256,B,
Science,What is the speed of light approximately?,300000 km/s,150000 km/s,500000 km/s,100000 km/s,A,
Science,Which organ pumps blood through the body?,Lungs,Brain,Heart,Liver,C,
Science,What is H2O commonly known as?,Salt,Water,Hydrogen,Oxygen,B,
Science,Which force keeps us on the ground?,Magnetism,Friction,Gravity,Tension,C,
Science,What is the hardest natural substance?,Gold,Iron,Diamond,Platinum,C,
Science,Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,
